Sample1,Sample2,Sample3,Sample4,Sample6
1073,963,854,1296,1161
1642,1820,1240,1767,1929
1177,1368,1137,1670,1854
822,1057,691,1196,1153
1114,1482,992,1305,1720
1179,1561,1009,1082,1508
1301,1720,1170,1415,1906
1467,1846,1175,1491,2058
1443,1597,938,1386,1561
1006,1175,623,1012,1325
720,904,531,931,1302
1488,1729,1165,1722,2280
1188,1308,887,1295,1618
1272,1548,1324,1521,2231
696,1058,754,1034,1501
826,1068,789,1062,1619
851,1157,1137,1120,2146
945,1094,824,965,1490
774,932,956,854,1403
1461,1436,1239,1144,2075
1184,1267,761,1335,1486
622,779,465,1050,1153
1182,1257,901,1329,1755
1196,1200,673,1595,1541
1366,1403,790,1482,1585
913,1128,492,1125,982
1172,1370,859,1531,1771
1483,1835,913,1582,1704
886,1055,421,1110,1098
1702,1931,870,1395,1814
1109,1325,518,1134,1098
801,1073,383,1003,1023
769,1060,522,1049,1288
1243,1553,747,1275,1914
850,1122,328,737,916
1259,1434,629,1031,1558
963,1353,672,1124,1664
1018,1243,664,925,1237
738,938,371,855,1064
1116,1273,723,1369,1906
1361,1534,637,1310,1968
707,939,890,1122,1642
1207,1491,915,1284,1857
1257,1605,990,1188,1927
1577,1951,1057,1224,2074
1426,1850,1084,1239,1983
751,900,454,762,1185
850,1083,712,804,1420
926,1007,731,804,1306
785,736,566,652,1089
651,544,590,603,1125
